Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Ms.	Ben-Moyal	Karen		D	TX14	2019	11/25/2019	8216758
Ms.	Ben-Moyal	Karen		D	TX14	2019	1/8/2020	40001798
	Bennett	Adrienne		C	ME02	2019	11/14/2019	10029994
Hon.	Bentivolio	Kerry		C	MI11	2019	11/30/2019	10031094
	Benton	Steven Douglas		W	NC03	2019	12/2/2019	6654
	Bentz	Cliff		C	OR02	2019	2/29/2020	10031084
	Bentz	Cliff		X	OR02	2019	12/5/2019	30006258
Mrs.	Benzel	Julianne Elizabeth		C	CA04	2019	11/9/2019	10029957
Hon.	Bera	Ami		O	CA07	2019	8/12/2020	10037931
Hon.	Bera	Ami		X	CA07	2019	4/15/2020	30008564
	Berghoef	Bryan		C	MI02	2019	10/15/2019	10029148
	Berghoef	Bryan		X	MI02	2019	8/26/2019	30006112
Hon.	Bergman	John		O	MI01	2019	8/14/2020	10038706
Hon.	Bergman	John		X	MI01	2019	4/15/2020	30008567
	Berina	Courtney James		C	CA30	2019	2/20/2020	10029591
	Berina	Courtney James		D	CA30	2019	2/24/2020	40002878
	Bernstein	Cathy		D	NY10	2019	10/31/2019	40001698
Mr.	Berryhill	James		C	TX11	2019	10/25/2019	10029791
	Bew	Richard		C	NC03	2019	4/10/2019	10025434
	Bey	Nikolay Nikolayevich		D	MN06	2019	11/14/2019	8216689
Hon.	Beyer	Donald Sternoff	Jr	A	VA08	2019	6/28/2020	10036610
Hon.	Beyer	Donald Sternoff	Jr	O	VA08	2019	6/27/2020	10036116
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2019	12/7/2019	20012722
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2019	12/14/2019	20012723
Hon.	Beyer	Donald Sternoff	Jr	X	VA08	2019	4/15/2020	30008582
	Bice	Stephanie		C	OK05	2019	8/13/2019	10029025
	Bice	Stephanie		X	OK05	2019	5/17/2019	9114708
	Biesinger	Chris		C	UT04	2019	10/20/2019	10029743
Dr.	Biggan	John		C	TX24	2019	11/7/2019	10029936
Hon.	Biggs	Andy		O	AZ05	2019	8/31/2020	10038855
Hon.	Biggs	Andy		X	AZ05	2019	4/15/2020	30008587
Hon.	Bilirakis	Gus M.		O	FL12	2019	8/13/2020	8217519
Hon.	Bilirakis	Gus M.		P	FL12	2019	10/17/2019	9115481
Hon.	Bilirakis	Gus M.		P	FL12	2019	1/9/2020	8216873
Hon.	Bilirakis	Gus M.		X	FL12	2019	4/15/2020	30008590
	Bish	Christine		C	CA06	2019	5/14/2021	10034753
Hon.	Bishop	Dan Daniel		O	NC09	2019	8/10/2020	10037351
	Bishop	James Daniel		C	NC09	2019	4/19/2019	10026007
Hon.	Bishop	James Daniel		X	NC09	2019	4/15/2020	30008599
Hon.	Bishop	Michael D.		T	MI08	2019	4/5/2019	10025084
Hon.	Bishop	Michael D.		X	MI08	2019	1/25/2019	30005029
Hon.	Bishop	Rob		O	UT01	2019	7/30/2020	10037395
Hon.	Bishop	Rob		X	UT01	2019	4/15/2020	30008600
Hon.	Bishop	Sanford D.	Jr.	O	GA02	2019	8/10/2020	10037688
Hon.	Bishop	Sanford D.	Jr.	X	GA02	2019	4/15/2020	30008601
	Bizon	Kimberly Ann		C	MI10	2019	10/28/2019	9115517
Hon.	Black	Diane		T	TN06	2019	1/30/2019	9114332
Hon.	Blackburn	Marsha		E	TN07	2019	2/8/2019	9114388
	Blackwelder	David		W		2019		8216706
	Blair	John		C	NM03	2019	12/17/2019	10029448
	Blair	John		X	NM03	2019	9/20/2019	30006156
	Blake	Michael Alexander		C	NY15	2019	5/23/2019	10028168
	Blanco	Omar		C	FL26	2019	4/27/2020	10029453
	Blanco	Omar		X	FL26	2019	9/20/2019	30006157
	Bland	Scott		C	TX17	2019	12/9/2019	10031220
	Blankenbeker	Lynne		C	NH02	2019	1/3/2020	10032376
Dr.	Blass	Piotr		D	FL21	2019	10/30/2019	40001696
	Blevins	Ryan		C	CA10	2019	11/8/2019	10029938
	Bliatout	Bobby		C	CA22	2019	7/2/2019	10028617
	Blueming	Michael Joesph	Jr.	C	FL21	2019	7/8/2019	10028676
	Blueming	Michael Joesph	Jr.	D	FL21	2019	6/24/2019	9115077
	Blueming	Michael Joesph	Jr.	W	FL21	2019	10/16/2019	6641
Hon.	Blum	Rodney Leland		P	IA01	2019	1/8/2019	20010974
Hon.	Blum	Rodney Leland		T	IA01	2019	1/16/2019	10025065
Hon.	Blumenauer	Earl		O	OR03	2019	8/10/2020	10036555
Hon.	Blumenauer	Earl		P	OR03	2019	1/16/2019	20011017
Hon.	Blumenauer	Earl		P	OR03	2019	2/11/2019	20011134
Hon.	Blumenauer	Earl		P	OR03	2019	3/4/2019	20011241
Hon.	Blumenauer	Earl		P	OR03	2019	3/7/2019	9114448
Hon.	Blumenauer	Earl		P	OR03	2019	3/18/2019	20011312
Hon.	Blumenauer	Earl		P	OR03	2019	4/11/2019	20011455
Hon.	Blumenauer	Earl		P	OR03	2019	5/8/2019	20011632
Hon.	Blumenauer	Earl		P	OR03	2019	6/4/2019	20011790
Hon.	Blumenauer	Earl		P	OR03	2019	6/4/2019	20011791
Hon.	Blumenauer	Earl		P	OR03	2019	7/3/2019	20011929
Hon.	Blumenauer	Earl		P	OR03	2019	8/6/2019	20012114
